"Step","3i_350M_asura_ - Bench/LAMBADA_ppl","3i_350M_asura_ - Bench/LAMBADA_ppl__MIN","3i_350M_asura_ - Bench/LAMBADA_ppl__MAX","350M_baseline_QK_3eps - Bench/LAMBADA_ppl","350M_baseline_QK_3eps - Bench/LAMBADA_ppl__MIN","350M_baseline_QK_3eps - Bench/LAMBADA_ppl__MAX"
"51000","","","","28.573938548189616","28.573938548189616","28.573938548189616"
"51800","25.26461943775907","25.26461943775907","25.26461943775907","","",""
"52500","","","","29.216291674953997","29.216291674953997","29.216291674953997"
"53200","22.33678523564407","22.33678523564407","22.33678523564407","","",""
"54000","","","","27.862643126228058","27.862643126228058","27.862643126228058"
"54600","23.461496102089114","23.461496102089114","23.461496102089114","","",""
"55500","","","","24.8473000562608","24.8473000562608","24.8473000562608"
"56000","24.232358781161544","24.232358781161544","24.232358781161544","","",""
"57000","","","","25.817539927431305","25.817539927431305","25.817539927431305"
"57400","25.186743006242608","25.186743006242608","25.186743006242608","","",""
"58500","","","","26.341847918632464","26.341847918632464","26.341847918632464"
"58800","21.790870320938353","21.790870320938353","21.790870320938353","","",""
"60000","","","","29.786583751128525","29.786583751128525","29.786583751128525"
"60200","25.3424674053096","25.3424674053096","25.3424674053096","","",""
"61500","","","","27.439871835840172","27.439871835840172","27.439871835840172"
"61600","23.79449244700285","23.79449244700285","23.79449244700285","","",""
"63000","24.126463489639043","24.126463489639043","24.126463489639043","26.09257795130932","26.09257795130932","26.09257795130932"
"64400","25.380000795429567","25.380000795429567","25.380000795429567","","",""
"64500","","","","27.71775493038726","27.71775493038726","27.71775493038726"
"65800","24.573049549780375","24.573049549780375","24.573049549780375","","",""
"66000","","","","25.07306938284665","25.07306938284665","25.07306938284665"
"67200","25.19865054173622","25.19865054173622","25.19865054173622","","",""
"67500","","","","28.153577697543398","28.153577697543398","28.153577697543398"
"68600","23.606588469450035","23.606588469450035","23.606588469450035","","",""
"69000","","","","26.88388514054979","26.88388514054979","26.88388514054979"
"70000","21.96053511763958","21.96053511763958","21.96053511763958","","",""
"70500","","","","24.919356193017524","24.919356193017524","24.919356193017524"
"71400","18.63611676594391","18.63611676594391","18.63611676594391","","",""
"72000","","","","26.870995061243807","26.870995061243807","26.870995061243807"
"72800","21.428415900775164","21.428415900775164","21.428415900775164","","",""
"73500","","","","28.895818449496502","28.895818449496502","28.895818449496502"
"74200","19.823599542742144","19.823599542742144","19.823599542742144","","",""
"75000","","","","23.744651234308034","23.744651234308034","23.744651234308034"
"75600","23.045516317726726","23.045516317726726","23.045516317726726","","",""
"76500","","","","26.985320048752325","26.985320048752325","26.985320048752325"
"77000","19.9697103598354","19.9697103598354","19.9697103598354","","",""
"78000","","","","29.228626550211526","29.228626550211526","29.228626550211526"
"78400","21.48097529373149","21.48097529373149","21.48097529373149","","",""
"79500","","","","31.243972703699438","31.243972703699438","31.243972703699438"
"79800","21.136116119021146","21.136116119021146","21.136116119021146","","",""
"81000","","","","24.154254703770608","24.154254703770608","24.154254703770608"
"81200","20.192278541040007","20.192278541040007","20.192278541040007","","",""
"82500","","","","26.25149935532904","26.25149935532904","26.25149935532904"
"82600","19.582631037186147","19.582631037186147","19.582631037186147","","",""
"84000","19.24835878374087","19.24835878374087","19.24835878374087","26.491137109413774","26.491137109413774","26.491137109413774"
"85400","20.42649611528807","20.42649611528807","20.42649611528807","","",""
"85500","","","","29.645514290611345","29.645514290611345","29.645514290611345"
"86800","19.30270994626798","19.30270994626798","19.30270994626798","","",""
"87000","","","","25.161365672973613","25.161365672973613","25.161365672973613"
"88200","20.698742754818166","20.698742754818166","20.698742754818166","","",""
"88500","","","","24.066577667071808","24.066577667071808","24.066577667071808"
"89600","19.390851140621553","19.390851140621553","19.390851140621553","","",""
"90000","","","","26.761724347938223","26.761724347938223","26.761724347938223"
"91000","22.85679767814774","22.85679767814774","22.85679767814774","","",""
"91500","","","","27.087583403464663","27.087583403464663","27.087583403464663"
"92400","19.422597162997555","19.422597162997555","19.422597162997555","","",""
"93000","","","","21.314147434051012","21.314147434051012","21.314147434051012"
"93800","20.91304686379988","20.91304686379988","20.91304686379988","","",""
"94500","","","","24.37892587595227","24.37892587595227","24.37892587595227"
"95200","22.80997973903623","22.80997973903623","22.80997973903623","","",""
"96000","","","","21.508842475805455","21.508842475805455","21.508842475805455"
"96600","18.76903554225146","18.76903554225146","18.76903554225146","","",""
"97500","","","","21.140600838220685","21.140600838220685","21.140600838220685"
"98000","20.617149154448395","20.617149154448395","20.617149154448395","","",""
"99000","","","","23.70651882911158","23.70651882911158","23.70651882911158"
"99400","19.843416310521132","19.843416310521132","19.843416310521132","","",""
"100500","","","","23.836857505595816","23.836857505595816","23.836857505595816"
"100800","21.34841345630853","21.34841345630853","21.34841345630853","","",""
"102000","","","","22.396906059402863","22.396906059402863","22.396906059402863"
"102200","21.055454903772024","21.055454903772024","21.055454903772024","","",""
"103500","","","","23.52810455611587","23.52810455611587","23.52810455611587"
"103600","19.190719731307553","19.190719731307553","19.190719731307553","","",""
"105000","20.479652625505608","20.479652625505608","20.479652625505608","26.28331118702599","26.28331118702599","26.28331118702599"
"106400","19.391126180326037","19.391126180326037","19.391126180326037","","",""
"106500","","","","24.253566373393976","24.253566373393976","24.253566373393976"
"107800","20.04640797235279","20.04640797235279","20.04640797235279","","",""
"108000","","","","26.554631011825858","26.554631011825858","26.554631011825858"
"109200","19.686435260972914","19.686435260972914","19.686435260972914","","",""
"109500","","","","24.984324094694994","24.984324094694994","24.984324094694994"
"110600","18.44844276482165","18.44844276482165","18.44844276482165","","",""
"111000","","","","22.700476007271664","22.700476007271664","22.700476007271664"
"112000","19.27635540927558","19.27635540927558","19.27635540927558","","",""
"112500","","","","29.11804139494557","29.11804139494557","29.11804139494557"
"113400","19.33529264305683","19.33529264305683","19.33529264305683","","",""
"114000","","","","24.91669355403335","24.91669355403335","24.91669355403335"
"114800","20.341459331901202","20.341459331901202","20.341459331901202","","",""
"115500","","","","23.558751644784973","23.558751644784973","23.558751644784973"
"116200","20.86573441671448","20.86573441671448","20.86573441671448","","",""
"117000","","","","21.85619223228834","21.85619223228834","21.85619223228834"
"117600","20.9212727051971","20.9212727051971","20.9212727051971","","",""
"118500","","","","20.32558301762887","20.32558301762887","20.32558301762887"
"119000","19.463718947829605","19.463718947829605","19.463718947829605","","",""
"120000","","","","26.135643601086468","26.135643601086468","26.135643601086468"
"120400","19.66815318035604","19.66815318035604","19.66815318035604","","",""
"121500","","","","23.129964324968444","23.129964324968444","23.129964324968444"
"121800","18.673380290505648","18.673380290505648","18.673380290505648","","",""
"123000","","","","22.045020408835057","22.045020408835057","22.045020408835057"
"123200","20.457210431117982","20.457210431117982","20.457210431117982","","",""
"124500","","","","22.61655933722549","22.61655933722549","22.61655933722549"
"124600","18.729445555482766","18.729445555482766","18.729445555482766","","",""
"126000","17.517436920752825","17.517436920752825","17.517436920752825","22.4941425267248","22.4941425267248","22.4941425267248"
"127400","19.179761704013842","19.179761704013842","19.179761704013842","","",""
"127500","","","","25.035129056773567","25.035129056773567","25.035129056773567"
"128800","19.954575031662444","19.954575031662444","19.954575031662444","","",""
"129000","","","","21.877381594528448","21.877381594528448","21.877381594528448"
"130200","19.119187048888787","19.119187048888787","19.119187048888787","","",""
"130500","","","","22.514582086394487","22.514582086394487","22.514582086394487"
"131600","18.436528085588186","18.436528085588186","18.436528085588186","","",""
"132000","","","","23.908633680328037","23.908633680328037","23.908633680328037"
"133000","18.27176801650016","18.27176801650016","18.27176801650016","","",""
"133500","","","","25.12097924003733","25.12097924003733","25.12097924003733"
"134400","20.2314191558885","20.2314191558885","20.2314191558885","","",""
"135000","","","","21.529811115910757","21.529811115910757","21.529811115910757"
"135800","19.56604263913574","19.56604263913574","19.56604263913574","","",""
"136500","","","","22.394659100095666","22.394659100095666","22.394659100095666"
"137200","18.628773186049347","18.628773186049347","18.628773186049347","","",""
"138600","19.87762285241448","19.87762285241448","19.87762285241448","","",""
"139500","","","","26.526224386940466","26.526224386940466","26.526224386940466"
"140000","19.154234996839627","19.154234996839627","19.154234996839627","","",""
"141000","","","","21.372541880166217","21.372541880166217","21.372541880166217"
"141400","17.177896805594433","17.177896805594433","17.177896805594433","","",""
"142500","","","","25.114149070444608","25.114149070444608","25.114149070444608"
"142800","18.388037916363807","18.388037916363807","18.388037916363807","","",""
"144000","","","","23.32376476936084","23.32376476936084","23.32376476936084"
"144200","17.679275493453638","17.679275493453638","17.679275493453638","","",""
"145500","","","","23.545441116188677","23.545441116188677","23.545441116188677"
"145600","18.39813304324453","18.39813304324453","18.39813304324453","","",""
"147000","18.33214245829961","18.33214245829961","18.33214245829961","21.415907318401374","21.415907318401374","21.415907318401374"
"148400","17.5284411184904","17.5284411184904","17.5284411184904","","",""
"149800","17.542562589595587","17.542562589595587","17.542562589595587","","",""
"150000","","","","24.39439508842418","24.39439508842418","24.39439508842418"
"151200","19.91051435676424","19.91051435676424","19.91051435676424","","",""
"151500","","","","22.262260222178774","22.262260222178774","22.262260222178774"
"152600","16.5157642062435","16.5157642062435","16.5157642062435","","",""
"153000","","","","24.120774376873644","24.120774376873644","24.120774376873644"
"154000","17.53393199847091","17.53393199847091","17.53393199847091","","",""
"154500","","","","17.705263463077777","17.705263463077777","17.705263463077777"
"155400","17.569573622719698","17.569573622719698","17.569573622719698","","",""
"156000","","","","20.601439181667462","20.601439181667462","20.601439181667462"
"156800","18.45994478374523","18.45994478374523","18.45994478374523","","",""
"157500","","","","22.88420242612308","22.88420242612308","22.88420242612308"
"158200","16.947295901088907","16.947295901088907","16.947295901088907","","",""
"159000","","","","23.22232715346008","23.22232715346008","23.22232715346008"
"159600","18.185134472299705","18.185134472299705","18.185134472299705","","",""
"160500","","","","23.229646385471764","23.229646385471764","23.229646385471764"
"161000","17.079104656055733","17.079104656055733","17.079104656055733","","",""
"162000","","","","22.28222898092221","22.28222898092221","22.28222898092221"
"162400","17.462113765665176","17.462113765665176","17.462113765665176","","",""
"163500","","","","20.556591222554456","20.556591222554456","20.556591222554456"
"163800","16.383690520765658","16.383690520765658","16.383690520765658","","",""
"165000","","","","24.504558323477752","24.504558323477752","24.504558323477752"
"165200","16.926790620252476","16.926790620252476","16.926790620252476","","",""
"166500","","","","22.865075169068298","22.865075169068298","22.865075169068298"
"166600","17.11246832693651","17.11246832693651","17.11246832693651","","",""
"168000","18.63089408542727","18.63089408542727","18.63089408542727","25.799485196310478","25.799485196310478","25.799485196310478"
"169400","17.623340505701336","17.623340505701336","17.623340505701336","","",""
"169500","","","","23.97258812938741","23.97258812938741","23.97258812938741"
"170800","16.920262093333907","16.920262093333907","16.920262093333907","","",""
"171000","","","","21.86404818338613","21.86404818338613","21.86404818338613"
"172200","17.792109273505663","17.792109273505663","17.792109273505663","","",""
"172500","","","","24.306698692348547","24.306698692348547","24.306698692348547"
"173600","16.133348923126377","16.133348923126377","16.133348923126377","","",""
"174000","","","","23.756471341407195","23.756471341407195","23.756471341407195"
"175000","16.73936111853636","16.73936111853636","16.73936111853636","","",""
"175500","","","","23.637954301087124","23.637954301087124","23.637954301087124"
"176400","16.76899301400857","16.76899301400857","16.76899301400857","","",""
"177000","","","","23.323864361432683","23.323864361432683","23.323864361432683"
"177800","16.929400109442458","16.929400109442458","16.929400109442458","","",""
"178500","","","","21.33482487195758","21.33482487195758","21.33482487195758"
"179200","17.542423997943654","17.542423997943654","17.542423997943654","","",""
"180000","","","","26.90428336549942","26.90428336549942","26.90428336549942"
"180600","17.571134474607955","17.571134474607955","17.571134474607955","","",""
"181500","","","","24.81603067914683","24.81603067914683","24.81603067914683"
"182000","16.479143076784105","16.479143076784105","16.479143076784105","","",""
"183000","","","","20.475071843090994","20.475071843090994","20.475071843090994"
"183400","18.072663373760218","18.072663373760218","18.072663373760218","","",""
"184500","","","","22.49679729679348","22.49679729679348","22.49679729679348"
"184800","17.18261692849639","17.18261692849639","17.18261692849639","","",""
"186000","","","","21.66428831290773","21.66428831290773","21.66428831290773"
"186200","17.922493690130256","17.922493690130256","17.922493690130256","","",""
"187500","","","","20.585119911214985","20.585119911214985","20.585119911214985"
"187600","17.709739167914922","17.709739167914922","17.709739167914922","","",""
"189000","16.53753312081925","16.53753312081925","16.53753312081925","20.51496345906303","20.51496345906303","20.51496345906303"
"190400","17.052151534508912","17.052151534508912","17.052151534508912","","",""
"190500","","","","19.48584430645765","19.48584430645765","19.48584430645765"
"191800","16.938249541447234","16.938249541447234","16.938249541447234","","",""
"192000","","","","22.804261801204724","22.804261801204724","22.804261801204724"
"193200","17.52169776540171","17.52169776540171","17.52169776540171","","",""
"193500","","","","22.108788804447677","22.108788804447677","22.108788804447677"
"194600","16.423810317509332","16.423810317509332","16.423810317509332","","",""
"195000","","","","23.05258049623956","23.05258049623956","23.05258049623956"
"196000","17.178891676966714","17.178891676966714","17.178891676966714","","",""
"196500","","","","24.10332966644206","24.10332966644206","24.10332966644206"
"197400","17.069298190869617","17.069298190869617","17.069298190869617","","",""
"198000","","","","21.449621740331906","21.449621740331906","21.449621740331906"
"198800","16.514572810964452","16.514572810964452","16.514572810964452","","",""
"199500","","","","22.558752356022854","22.558752356022854","22.558752356022854"
"200200","17.96714638194069","17.96714638194069","17.96714638194069","","",""
"201000","","","","20.337091146125008","20.337091146125008","20.337091146125008"
"201600","18.231855385927968","18.231855385927968","18.231855385927968","","",""
"202500","","","","25.199811756711874","25.199811756711874","25.199811756711874"
"203000","17.13551591710163","17.13551591710163","17.13551591710163","","",""
"204000","","","","21.83759908023725","21.83759908023725","21.83759908023725"
"204400","17.381939888427052","17.381939888427052","17.381939888427052","","",""
"205500","","","","21.055906310239696","21.055906310239696","21.055906310239696"
"205800","16.527483503291585","16.527483503291585","16.527483503291585","","",""
"207000","","","","21.10070772028317","21.10070772028317","21.10070772028317"
"207200","16.997108370529972","16.997108370529972","16.997108370529972","","",""
"208500","","","","18.624726681699716","18.624726681699716","18.624726681699716"
"208600","16.731300079913733","16.731300079913733","16.731300079913733","","",""
"210000","16.577141431562893","16.577141431562893","16.577141431562893","22.76327711059559","22.76327711059559","22.76327711059559"
"211400","16.164557684142025","16.164557684142025","16.164557684142025","","",""
"211500","","","","23.14587605901744","23.14587605901744","23.14587605901744"
"212800","18.335869662112106","18.335869662112106","18.335869662112106","","",""
"213000","","","","21.063396455960802","21.063396455960802","21.063396455960802"
"214200","16.918313484738437","16.918313484738437","16.918313484738437","","",""
"214500","","","","17.801011690160948","17.801011690160948","17.801011690160948"
"215600","16.841413913537753","16.841413913537753","16.841413913537753","","",""
"216000","","","","21.56822416045129","21.56822416045129","21.56822416045129"
"217000","15.988820068703268","15.988820068703268","15.988820068703268","","",""
"217500","","","","23.513867516267847","23.513867516267847","23.513867516267847"
"218400","17.32876838091183","17.32876838091183","17.32876838091183","","",""
"219000","","","","19.68085610949621","19.68085610949621","19.68085610949621"
"219800","17.34479047602026","17.34479047602026","17.34479047602026","","",""
"220500","","","","21.874600026417976","21.874600026417976","21.874600026417976"
"221200","16.12266387537115","16.12266387537115","16.12266387537115","","",""
"222000","","","","21.51203566192204","21.51203566192204","21.51203566192204"
"222600","16.11891220620832","16.11891220620832","16.11891220620832","","",""
"223500","","","","20.538300847330294","20.538300847330294","20.538300847330294"
"224000","15.367269747592038","15.367269747592038","15.367269747592038","","",""
"225000","","","","21.625644815836374","21.625644815836374","21.625644815836374"
"225400","16.68026074054424","16.68026074054424","16.68026074054424","","",""
"226500","","","","20.97996022409262","20.97996022409262","20.97996022409262"
"226800","15.42560441385633","15.42560441385633","15.42560441385633","","",""
"228000","","","","19.526051009414722","19.526051009414722","19.526051009414722"
"228200","16.421222742830505","16.421222742830505","16.421222742830505","","",""
"229500","","","","22.20691709170005","22.20691709170005","22.20691709170005"
"229600","16.465797092879125","16.465797092879125","16.465797092879125","","",""
"231000","16.49915365905775","16.49915365905775","16.49915365905775","21.361276811443506","21.361276811443506","21.361276811443506"
"232400","16.166090605662053","16.166090605662053","16.166090605662053","","",""
"232500","","","","20.212699799001648","20.212699799001648","20.212699799001648"
"233800","16.503717381540227","16.503717381540227","16.503717381540227","","",""
"234000","","","","20.494365110172488","20.494365110172488","20.494365110172488"
"235200","15.787633147079141","15.787633147079141","15.787633147079141","","",""
"235500","","","","21.53975574504645","21.53975574504645","21.53975574504645"
"236600","15.531808913781024","15.531808913781024","15.531808913781024","","",""
"237000","","","","20.950232500759054","20.950232500759054","20.950232500759054"
"238000","15.511449576293211","15.511449576293211","15.511449576293211","","",""
"238500","","","","20.03564443794737","20.03564443794737","20.03564443794737"
"239400","16.873551775828947","16.873551775828947","16.873551775828947","","",""
"240000","","","","23.42330765458218","23.42330765458218","23.42330765458218"
"240800","17.094064238794665","17.094064238794665","17.094064238794665","","",""
"241500","","","","22.82444705159309","22.82444705159309","22.82444705159309"
"242200","16.70377548136611","16.70377548136611","16.70377548136611","","",""
"243000","","","","19.739846516132793","19.739846516132793","19.739846516132793"
"243600","16.31655009654799","16.31655009654799","16.31655009654799","","",""
"244500","","","","21.75105150997555","21.75105150997555","21.75105150997555"
"245000","15.831694303467852","15.831694303467852","15.831694303467852","","",""
"246000","","","","19.53637926230106","19.53637926230106","19.53637926230106"
"246400","15.77319518650149","15.77319518650149","15.77319518650149","","",""
"247500","","","","20.189729517051052","20.189729517051052","20.189729517051052"
"247800","17.032550867644595","17.032550867644595","17.032550867644595","","",""
"249000","","","","18.562808960020117","18.562808960020117","18.562808960020117"
"249200","16.81819325707643","16.81819325707643","16.81819325707643","","",""
"250500","","","","17.733965540848995","17.733965540848995","17.733965540848995"
"250600","16.20597421225196","16.20597421225196","16.20597421225196","","",""
"252000","16.102078925901445","16.102078925901445","16.102078925901445","21.461787386662117","21.461787386662117","21.461787386662117"
"253400","16.224025158983473","16.224025158983473","16.224025158983473","","",""
"253500","","","","20.431622329516422","20.431622329516422","20.431622329516422"
"254800","15.84021909500152","15.84021909500152","15.84021909500152","","",""
"255000","","","","20.314936794547044","20.314936794547044","20.314936794547044"
"256200","15.86344132896512","15.86344132896512","15.86344132896512","","",""
"256500","","","","20.223706846345685","20.223706846345685","20.223706846345685"
"257600","16.01541183366924","16.01541183366924","16.01541183366924","","",""
"258000","","","","20.958985723775573","20.958985723775573","20.958985723775573"
"259000","16.173866590203357","16.173866590203357","16.173866590203357","","",""
"259500","","","","22.341984508749654","22.341984508749654","22.341984508749654"
"260400","16.051988406019156","16.051988406019156","16.051988406019156","","",""
"261000","","","","22.231201089210348","22.231201089210348","22.231201089210348"
"261800","16.67649842906925","16.67649842906925","16.67649842906925","","",""
"262500","","","","22.97964845454469","22.97964845454469","22.97964845454469"
"263200","15.985938612869456","15.985938612869456","15.985938612869456","","",""
"264000","","","","20.77585815501211","20.77585815501211","20.77585815501211"
"264600","15.00050445782926","15.00050445782926","15.00050445782926","","",""
"265500","","","","19.670844415179424","19.670844415179424","19.670844415179424"
"266000","15.676528199613509","15.676528199613509","15.676528199613509","","",""
"267000","","","","20.73813063701326","20.73813063701326","20.73813063701326"
"267400","15.498686099424175","15.498686099424175","15.498686099424175","","",""
"268500","","","","18.548383479142533","18.548383479142533","18.548383479142533"
"268800","15.507829480199076","15.507829480199076","15.507829480199076","","",""
"270000","","","","19.9031602387847","19.9031602387847","19.9031602387847"
"270200","16.01028081159866","16.01028081159866","16.01028081159866","","",""
"271500","","","","20.453359562867337","20.453359562867337","20.453359562867337"
"271600","16.1068727811942","16.1068727811942","16.1068727811942","","",""
"273000","16.313015606264905","16.313015606264905","16.313015606264905","19.548466031324455","19.548466031324455","19.548466031324455"
"274400","16.40497416248497","16.40497416248497","16.40497416248497","","",""
"274500","","","","18.08017898358817","18.08017898358817","18.08017898358817"
"275800","15.30738989779545","15.30738989779545","15.30738989779545","","",""
"276000","","","","21.95073739901926","21.95073739901926","21.95073739901926"
"277200","16.105617979529725","16.105617979529725","16.105617979529725","","",""
"277500","","","","21.22547168053028","21.22547168053028","21.22547168053028"
"278600","15.40073820009656","15.40073820009656","15.40073820009656","","",""
"279000","","","","18.882646707329524","18.882646707329524","18.882646707329524"
"280000","16.175570911339314","16.175570911339314","16.175570911339314","","",""
"280500","","","","21.120772445079176","21.120772445079176","21.120772445079176"
"281400","15.648771432104015","15.648771432104015","15.648771432104015","","",""
"282000","","","","22.430554490058263","22.430554490058263","22.430554490058263"
"282800","15.752893724230237","15.752893724230237","15.752893724230237","","",""
"283500","","","","20.36527788132879","20.36527788132879","20.36527788132879"
"284200","15.768898097479465","15.768898097479465","15.768898097479465","","",""
"285000","","","","20.544813425893903","20.544813425893903","20.544813425893903"
"285600","16.5698182355322","16.5698182355322","16.5698182355322","","",""
"286500","","","","19.75801813800712","19.75801813800712","19.75801813800712"
"287000","16.459350839613375","16.459350839613375","16.459350839613375","","",""
"288000","","","","18.54992307634886","18.54992307634886","18.54992307634886"
"288400","15.751402035645482","15.751402035645482","15.751402035645482","","",""
"289500","","","","19.896239270440386","19.896239270440386","19.896239270440386"
"289800","15.949186290146361","15.949186290146361","15.949186290146361","","",""
"291000","","","","20.897447552871213","20.897447552871213","20.897447552871213"
"291200","15.065742216252337","15.065742216252337","15.065742216252337","","",""
"292500","","","","18.4409216198332","18.4409216198332","18.4409216198332"
"292600","15.44836931027163","15.44836931027163","15.44836931027163","","",""
"294000","","","","19.452917241627212","19.452917241627212","19.452917241627212"
"295400","17.093071040619364","17.093071040619364","17.093071040619364","","",""
"295500","","","","18.85386263396923","18.85386263396923","18.85386263396923"
"296800","15.482383809431969","15.482383809431969","15.482383809431969","","",""
"297000","","","","20.278162167415456","20.278162167415456","20.278162167415456"
"298200","15.818108320360993","15.818108320360993","15.818108320360993","","",""
"298500","","","","19.91152680849687","19.91152680849687","19.91152680849687"
"300000","","","","22.317054982780906","22.317054982780906","22.317054982780906"
"301000","16.112487057430574","16.112487057430574","16.112487057430574","","",""
"301500","","","","20.96811352433078","20.96811352433078","20.96811352433078"
"302400","15.056009622964515","15.056009622964515","15.056009622964515","","",""
"303000","","","","20.02162954679866","20.02162954679866","20.02162954679866"
"303800","15.83921216589734","15.83921216589734","15.83921216589734","","",""
"304500","","","","21.129194864348488","21.129194864348488","21.129194864348488"
"305200","16.128363125679076","16.128363125679076","16.128363125679076","","",""
"306000","","","","18.292256219048664","18.292256219048664","18.292256219048664"
"306600","16.10992372577515","16.10992372577515","16.10992372577515","","",""
"307500","","","","18.57201038564472","18.57201038564472","18.57201038564472"
"308000","15.981752418449712","15.981752418449712","15.981752418449712","","",""
"309000","","","","18.159247256258425","18.159247256258425","18.159247256258425"
"309400","15.580247138830385","15.580247138830385","15.580247138830385","","",""
"310500","","","","20.339145632865623","20.339145632865623","20.339145632865623"
"310800","16.02392964343109","16.02392964343109","16.02392964343109","","",""
"312000","","","","18.68512634850933","18.68512634850933","18.68512634850933"
"312200","16.271989189001907","16.271989189001907","16.271989189001907","","",""
"313500","","","","19.447548754703533","19.447548754703533","19.447548754703533"
